train_dataset,test_dataset,protocol,embedding,clf,seed,n_common_genes,n_train_edges,n_test_edges,auroc,auprc
hESC,mHSC-E,coverage_matched,baseline,lr,0,2845,104,531,0.467680,0.402392
hESC,mHSC-E,coverage_matched,baseline,lr,1,2845,104,531,0.452912,0.395925
hESC,mHSC-E,coverage_matched,baseline,lr,2,2845,104,531,0.444344,0.394701
hESC,mHSC-E,coverage_matched,baseline,lr,3,2845,104,531,0.420578,0.383205
hESC,mHSC-E,coverage_matched,baseline,lr,4,2845,104,531,0.595453,0.489680
hESC,mHSC-E,coverage_matched,baseline,mlp,0,2845,104,531,0.421998,0.392430
hESC,mHSC-E,coverage_matched,baseline,mlp,1,2845,104,531,0.656075,0.621037
hESC,mHSC-E,coverage_matched,baseline,mlp,2,2845,104,531,0.530196,0.471958
hESC,mHSC-E,coverage_matched,baseline,mlp,3,2845,104,531,0.408938,0.385399
hESC,mHSC-E,coverage_matched,baseline,mlp,4,2845,104,531,0.463762,0.421441
hESC,mHSC-E,coverage_matched,scGPT_human,lr,0,2845,265,501,0.525110,0.420384
hESC,mHSC-E,coverage_matched,scGPT_human,lr,1,2845,265,501,0.573230,0.451032
hESC,mHSC-E,coverage_matched,scGPT_human,lr,2,2845,265,501,0.525490,0.421654
hESC,mHSC-E,coverage_matched,scGPT_human,lr,3,2845,265,501,0.528433,0.426886
hESC,mHSC-E,coverage_matched,scGPT_human,lr,4,2845,265,501,0.569065,0.461669
hESC,mHSC-E,coverage_matched,scGPT_human,mlp,0,2845,265,501,0.513439,0.402797
hESC,mHSC-E,coverage_matched,scGPT_human,mlp,1,2845,265,501,0.539161,0.427285
hESC,mHSC-E,coverage_matched,scGPT_human,mlp,2,2845,265,501,0.547360,0.431910
hESC,mHSC-E,coverage_matched,scGPT_human,mlp,3,2845,265,501,0.609069,0.489221
hESC,mHSC-E,coverage_matched,scGPT_human,mlp,4,2845,265,501,0.515258,0.430580
hESC,mHSC-GM,native,minus,lr,0,3895,4009,1024,0.733559,0.728651
hESC,mHSC-GM,native,minus,lr,1,3895,4009,1024,0.717987,0.716302
hESC,mHSC-GM,native,minus,lr,2,3895,4009,1024,0.743759,0.734289
hESC,mHSC-GM,native,minus,lr,3,3895,4009,1024,0.743454,0.741135
hESC,mHSC-GM,native,minus,lr,4,3895,4009,1024,0.735962,0.734113
hESC,mHSC-GM,native,minus,mlp,0,3895,4009,1024,0.751911,0.731650
hESC,mHSC-GM,native,minus,mlp,1,3895,4009,1024,0.747782,0.732965
hESC,mHSC-GM,native,minus,mlp,2,3895,4009,1024,0.761833,0.730617
hESC,mHSC-GM,native,minus,mlp,3,3895,4009,1024,0.753763,0.726024
hESC,mHSC-GM,native,minus,mlp,4,3895,4009,1024,0.763502,0.754600
hESC,mHSC-GM,native,baseline,lr,0,3895,4009,1024,0.681438,0.682294
hESC,mHSC-GM,native,baseline,lr,1,3895,4009,1024,0.698006,0.697497
hESC,mHSC-GM,native,baseline,lr,2,3895,4009,1024,0.680901,0.677573
hESC,mHSC-GM,native,baseline,lr,3,3895,4009,1024,0.707069,0.701705
hESC,mHSC-GM,native,baseline,lr,4,3895,4009,1024,0.701683,0.690694
hESC,mHSC-GM,native,baseline,mlp,0,3895,4009,1024,0.744040,0.724581
hESC,mHSC-GM,native,baseline,mlp,1,3895,4009,1024,0.738346,0.711055
hESC,mHSC-GM,native,baseline,mlp,2,3895,4009,1024,0.718605,0.698684
hESC,mHSC-GM,native,baseline,mlp,3,3895,4009,1024,0.741045,0.717475
hESC,mHSC-GM,native,baseline,mlp,4,3895,4009,1024,0.738049,0.722204
hESC,mHSC-GM,native,scGPT_human,lr,0,3895,4009,1024,0.740215,0.719647
hESC,mHSC-GM,native,scGPT_human,lr,1,3895,4009,1024,0.735699,0.707629
hESC,mHSC-GM,native,scGPT_human,lr,2,3895,4009,1024,0.713451,0.688330
hESC,mHSC-GM,native,scGPT_human,lr,3,3895,4009,1024,0.729469,0.705601
hESC,mHSC-GM,native,scGPT_human,lr,4,3895,4009,1024,0.736881,0.719540
hESC,mHSC-GM,native,scGPT_human,mlp,0,3895,4009,1024,0.772873,0.759768
hESC,mHSC-GM,native,scGPT_human,mlp,1,3895,4009,1024,0.783371,0.769905
hESC,mHSC-GM,native,scGPT_human,mlp,2,3895,4009,1024,0.766785,0.759812
hESC,mHSC-GM,native,scGPT_human,mlp,3,3895,4009,1024,0.773735,0.752286
hESC,mHSC-GM,native,scGPT_human,mlp,4,3895,4009,1024,0.753826,0.734643
hESC,mHSC-GM,strict,minus,lr,0,2795,415,476,0.636585,0.569472
hESC,mHSC-GM,strict,minus,lr,1,2795,415,476,0.649520,0.580576
hESC,mHSC-GM,strict,minus,lr,2,2795,415,476,0.637297,0.572894
hESC,mHSC-GM,strict,minus,lr,3,2795,415,476,0.623312,0.541131
hESC,mHSC-GM,strict,minus,lr,4,2795,415,476,0.652599,0.583353
hESC,mHSC-GM,strict,minus,mlp,0,2795,415,476,0.632920,0.600850
