train_dataset,test_dataset,protocol,embedding,clf,mean_auroc,std_auroc,mean_auprc,std_auprc,n
hHep,mHSC-L,strict,baseline,lr,0.627695,0.012339049687881168,0.453233,0.0137938901257042,5
hHep,mHSC-L,strict,baseline,mlp,0.5970224,0.03132475007785375,0.384957,0.03691787640696577,5
hHep,mHSC-L,strict,minus,lr,0.5778168,0.014546725038990722,0.3734182,0.01695083340016059,5
hHep,mHSC-L,strict,minus,mlp,0.5654402,0.03581336895294826,0.3652674,0.03409283635369754,5
hHep,mHSC-L,strict,scGPT_human,lr,0.5740444,0.008084260030454258,0.360072,0.007579995329813874,5
hHep,mHSC-L,strict,scGPT_human,mlp,0.5774086,0.025334927965952454,0.369761,0.02448424867542397,5
mDC,hESC,coverage_matched,baseline,lr,0.404692,0.028806750215878214,0.4790244,0.029912596267124645,5
mDC,hESC,coverage_matched,baseline,mlp,0.40456179999999997,0.03368380168805178,0.4719644,0.02559873119199465,5
mDC,hESC,coverage_matched,minus,lr,0.4762442,0.04655219881981945,0.472214,0.03634277243139273,5
mDC,hESC,coverage_matched,minus,mlp,0.457277,0.021380444186218393,0.4326866,0.021029613934639892,5
mDC,hESC,coverage_matched,scGPT_human,lr,0.4668086,0.01195743998688683,0.4377812,0.008121694783725873,5
mDC,hESC,coverage_matched,scGPT_human,mlp,0.4904964,0.025256017458023753,0.46333599999999997,0.033204502935595945,5
mDC,hESC,native,baseline,lr,0.464744,0.010708237744839243,0.4751918,0.007200907231731287,5
mDC,hESC,native,baseline,mlp,0.4369442,0.026606816197358156,0.45150440000000003,0.018349653649047434,5
mDC,hESC,native,minus,lr,0.5257577999999999,0.03339435429769531,0.5258776000000001,0.02570106155472961,5
mDC,hESC,native,minus,mlp,0.5057768,0.015007615658724731,0.5056008,0.012836304661389113,5
mDC,hESC,native,scGPT_human,lr,0.501501,0.01362503266785074,0.495778,0.01306910211146887,5
mDC,hESC,native,scGPT_human,mlp,0.5286576000000001,0.02082833188327863,0.5160986000000001,0.021312055936488147,5
mDC,hESC,strict,baseline,lr,0.4998366,0.02025369200516291,0.2596478,0.023509090313323475,5
mDC,hESC,strict,baseline,mlp,0.4352942,0.07266094968660951,0.2080758,0.0369704704887563,5
mDC,hESC,strict,minus,lr,0.49199339999999997,0.03487125980861602,0.2986908,0.038809626364601876,5
mDC,hESC,strict,minus,mlp,0.43333340000000004,0.029477793082929384,0.251231,0.030925428980048124,5
mDC,hESC,strict,scGPT_human,lr,0.5312092,0.04143180483348513,0.27384539999999996,0.028110697846905182,5
mDC,hESC,strict,scGPT_human,mlp,0.5321896,0.029337096847506915,0.2890338,0.04943944039084586,5
mDC,hHep,coverage_matched,baseline,lr,0.6279680000000001,0.014664135760419023,0.6220066,0.015631342752303802,5
mDC,hHep,coverage_matched,baseline,mlp,0.6567094,0.021006839710913192,0.6342934,0.020177114477546065,5
mDC,hHep,coverage_matched,minus,lr,0.5169897999999999,0.009547540382737347,0.468821,0.014354966987074547,5
mDC,hHep,coverage_matched,minus,mlp,0.571608,0.038284744784313256,0.5107556,0.031881069998354834,5
mDC,hHep,coverage_matched,scGPT_human,lr,0.4652418,0.03268651342312298,0.5536162,0.018107202759123225,5
mDC,hHep,coverage_matched,scGPT_human,mlp,0.5594404,0.04314714203559721,0.6313264,0.03152946814394432,5
mDC,hHep,native,baseline,lr,0.5567626,0.019928037240029433,0.5772446,0.02234876047211568,5
