train_dataset,test_dataset,direction,protocol,side,n_genes,canonical_over_raw_ratio,mean_degree,median_degree,mean_train_node_freq,median_train_node_freq,mean_test_node_freq,median_test_node_freq,tf_proxy_fraction,pos_edge_ratio,hub_fraction
mDC,mHSC-GM,mDC->mHSC-GM,topology_matched,train,2012,1.0,2.7768389662027833,0.0,2.2301192842942346,0.0,0.5467196819085487,0.0,0.04970178926441352,0.019762213320174048,1.0
mDC,mHSC-GM,mDC->mHSC-GM,topology_matched,test,2012,1.0,3.9438369781312126,0.0,3.150099403578529,0.0,0.7937375745526839,0.0,0.08200795228628231,0.02384058872197554,0.08001988071570576
mDC,mHSC-L,mDC->mHSC-L,native,train,7371,1.0,1.7712657712657713,0.0,1.4166327499660833,0.0,0.354633021299688,0.0,0.0328313661646995,0.014727904251028783,1.0
mDC,mHSC-L,mDC->mHSC-L,native,test,4762,1.0,2.7417051658966822,0.0,2.1927761444771106,0.0,0.5489290214195716,0.0,0.052708945821083576,0.02012916001582694,0.05081898362032759
mDC,mHSC-L,mDC->mHSC-L,strict,train,2012,1.0,2.7768389662027833,0.0,2.2301192842942346,0.0,0.5467196819085487,0.0,0.04970178926441352,0.019762213320174048,1.0
mDC,mHSC-L,mDC->mHSC-L,strict,test,2012,1.0,3.9726640159045727,0.0,3.1853876739562623,0.0,0.7872763419483101,0.0,0.08399602385685885,0.027955723882147076,0.08151093439363817
mDC,mHSC-L,mDC->mHSC-L,coverage_matched,train,2012,1.0,2.7768389662027833,0.0,2.2301192842942346,0.0,0.5467196819085487,0.0,0.04970178926441352,0.019762213320174048,1.0
mDC,mHSC-L,mDC->mHSC-L,coverage_matched,test,2012,1.0,3.9726640159045727,0.0,3.1853876739562623,0.0,0.7872763419483101,0.0,0.08399602385685885,0.027955723882147076,0.08151093439363817
mDC,mHSC-L,mDC->mHSC-L,topology_matched,train,2012,1.0,2.7768389662027833,0.0,2.2301192842942346,0.0,0.5467196819085487,0.0,0.04970178926441352,0.019762213320174048,1.0
mDC,mHSC-L,mDC->mHSC-L,topology_matched,test,2012,1.0,3.9726640159045727,0.0,3.1853876739562623,0.0,0.7872763419483101,0.0,0.08399602385685885,0.027955723882147076,0.08151093439363817
mESC,hESC,mESC->hESC,native,train,16749,2065.5,0.7795092244313093,0.0,0.6234402053853961,0.0,0.1560690190459132,0.0,0.014806854140545705,0.006134548912084501,1.0
mESC,hESC,mESC->hESC,native,test,13976,2065.5,0.9341728677733258,0.0,0.7471379507727532,0.0,0.1870349170005724,0.0,0.017744705208929592,0.006568360338248367,1.0
mESC,hESC,mESC->hESC,strict,train,8262,2065.5,0.8281287823771484,0.0,0.658557250060518,0.0,0.16957153231663036,0.0,0.015371580731057856,0.009168920057716733,1.0
mESC,hESC,mESC->hESC,strict,test,8262,2065.5,0.9345194868070685,0.0,0.7500605180343742,0.0,0.18445896877269427,0.0,0.019002662793512468,0.005267753849869839,1.0
mESC,hESC,mESC->hESC,coverage_matched,train,8262,2065.5,0.8281287823771484,0.0,0.658557250060518,0.0,0.16957153231663036,0.0,0.015371580731057856,0.009168920057716733,1.0
mESC,hESC,mESC->hESC,coverage_matched,test,8262,2065.5,0.9345194868070685,0.0,0.7500605180343742,0.0,0.18445896877269427,0.0,0.019002662793512468,0.005267753849869839,1.0
mESC,hESC,mESC->hESC,topology_matched,train,8262,2065.5,0.8281287823771484,0.0,0.658557250060518,0.0,0.16957153231663036,0.0,0.015371580731057856,0.009168920057716733,1.0
mESC,hESC,mESC->hESC,topology_matched,test,8262,2065.5,0.9345194868070685,0.0,0.7500605180343742,0.0,0.18445896877269427,0.0,0.019002662793512468,0.005267753849869839,1.0
