dataset,embedding,clf,coverage,auroc,auprc
mDC_Non-Specific_500,v4_bias_rec_best,lr,387/500,0.7063370872303875,0.20532262767286646
mDC_Non-Specific_500,v4_bias_rec_best,mlp,387/500,0.5825539225042947,0.02053219448640088
mDC_Non-Specific_500,v4_plain_best,lr,387/500,0.7638862378316473,0.19536067569477358
mDC_Non-Specific_500,v4_plain_best,mlp,387/500,0.5878030158427181,0.019485060138988982
mDC_Non-Specific_500,v4_type_pe_best,lr,387/500,0.7042374498950181,0.23773807692039564
mDC_Non-Specific_500,v4_type_pe_best,mlp,387/500,0.5894254628745944,0.04892463164414182
mDC_Non-Specific_1000,minus,lr,803/1000,0.8697087542731772,0.2470793069418376
mDC_Non-Specific_1000,minus,mlp,803/1000,0.8692559250471963,0.1608717112957354
mDC_Non-Specific_1000,baseline,lr,803/1000,0.8529827733557835,0.16957315095584374
mDC_Non-Specific_1000,baseline,mlp,803/1000,0.8657508833358843,0.1505851641771936
mDC_Non-Specific_1000,scGPT_human,lr,803/1000,0.8215533955814073,0.19706560017139182
mDC_Non-Specific_1000,scGPT_human,mlp,803/1000,0.848151930583193,0.21758033725260048
mDC_Non-Specific_1000,v4_bias_rec_best,lr,803/1000,0.8495873513954794,0.1712432039452949
mDC_Non-Specific_1000,v4_bias_rec_best,mlp,803/1000,0.8774219985713557,0.22177737430715663
mDC_Non-Specific_1000,v4_plain_best,lr,803/1000,0.8632686935557936,0.18632198458032795
mDC_Non-Specific_1000,v4_plain_best,mlp,803/1000,0.8892473786927904,0.2616307898354722
mDC_Non-Specific_1000,v4_type_pe_best,lr,803/1000,0.8621788739221389,0.18393150619722395
mDC_Non-Specific_1000,v4_type_pe_best,mlp,803/1000,0.8913102230981174,0.24213949710957888
mDC_STRING_500,minus,lr,387/500,0.8384790163058005,0.27304176915668893
mDC_STRING_500,minus,mlp,387/500,0.7998641183284326,0.2156511596453388
mDC_STRING_500,baseline,lr,387/500,0.795486946449256,0.19997540388531695
mDC_STRING_500,baseline,mlp,387/500,0.8650984585226766,0.4748890831512704
mDC_STRING_500,scGPT_human,lr,387/500,0.8475897710059699,0.32750807620304445
mDC_STRING_500,scGPT_human,mlp,387/500,0.8906486679141049,0.5008399888629561
mDC_STRING_500,v4_bias_rec_best,lr,387/500,0.8272966230063262,0.3269328071934868
mDC_STRING_500,v4_bias_rec_best,mlp,387/500,0.8625033413525794,0.3989867633194486
mDC_STRING_500,v4_plain_best,lr,387/500,0.861779381627016,0.3437485942302381
mDC_STRING_500,v4_plain_best,mlp,387/500,0.8971531676022454,0.5485690905243653
mDC_STRING_500,v4_type_pe_best,lr,387/500,0.8351822150940035,0.2785957208291617
mDC_STRING_500,v4_type_pe_best,mlp,387/500,0.8860487391962933,0.4631910448657972
mDC_STRING_1000,minus,lr,803/1000,0.897808717052321,0.3924804332077137
mDC_STRING_1000,minus,mlp,803/1000,0.8960334946847738,0.49122685960736295
mDC_STRING_1000,baseline,lr,803/1000,0.885424179083801,0.38541929166220484
mDC_STRING_1000,baseline,mlp,803/1000,0.9093890444001679,0.5051265384606967
mDC_STRING_1000,scGPT_human,lr,803/1000,0.8763619120960611,0.35701304830302866
mDC_STRING_1000,scGPT_human,mlp,803/1000,0.9076680642309118,0.5517996375456294
mDC_STRING_1000,v4_bias_rec_best,lr,803/1000,0.8932067885766439,0.37328154609266384
mDC_STRING_1000,v4_bias_rec_best,mlp,803/1000,0.8973465124049106,0.4655294898792424
mDC_STRING_1000,v4_plain_best,lr,803/1000,0.8909594298915767,0.37893727615365
mDC_STRING_1000,v4_plain_best,mlp,803/1000,0.9085102189245682,0.520225104371763
mDC_STRING_1000,v4_type_pe_best,lr,803/1000,0.9003552991317174,0.4297026385266779
mDC_STRING_1000,v4_type_pe_best,mlp,803/1000,0.9136802898621585,0.517181510419212
mHSC-E_Specific_500,minus,lr,457/500,0.7856899985427698,0.6991083284199536
mHSC-E_Specific_500,minus,mlp,457/500,0.851842181959489,0.8063693284045579
mHSC-E_Specific_500,baseline,lr,457/500,0.8079977655802205,0.7446249536460932
mHSC-E_Specific_500,baseline,mlp,457/500,0.8554306115509787,0.8053087298329555
mHSC-E_Specific_500,scGPT_human,lr,457/500,0.7572982950405596,0.6831228713327998
mHSC-E_Specific_500,scGPT_human,mlp,457/500,0.8574889493369603,0.8191208666836722
mHSC-E_Specific_500,v4_bias_rec_best,lr,457/500,0.8064798173604701,0.7449394150565689
mHSC-E_Specific_500,v4_bias_rec_best,mlp,457/500,0.8664084130762131,0.8185242673492815
mHSC-E_Specific_500,v4_plain_best,lr,457/500,0.7893816486132026,0.7255011202424144
mHSC-E_Specific_500,v4_plain_best,mlp,457/500,0.8596930101520377,0.8108387323659626
mHSC-E_Specific_500,v4_type_pe_best,lr,457/500,0.8071234274056444,0.7594488950117333
mHSC-E_Specific_500,v4_type_pe_best,mlp,457/500,0.8572582212075582,0.8165276791907181
mHSC-E_Specific_1000,minus,lr,917/1000,0.8943087424590287,0.8875661318018189
mHSC-E_Specific_1000,minus,mlp,917/1000,0.8971418121246041,0.8924868482778209
mHSC-E_Specific_1000,baseline,lr,917/1000,0.8916136026122937,0.8840876235864408
mHSC-E_Specific_1000,baseline,mlp,917/1000,0.8889805972845892,0.8735449660700259
mHSC-E_Specific_1000,scGPT_human,lr,917/1000,0.8915435360270043,0.8877069996090836
mHSC-E_Specific_1000,scGPT_human,mlp,917/1000,0.9001958779695671,0.8933921470714574
mHSC-E_Specific_1000,v4_bias_rec_best,lr,917/1000,0.8941263049350674,0.8841815514619686
mHSC-E_Specific_1000,v4_bias_rec_best,mlp,917/1000,0.8990439656805934,0.8903065917353203
mHSC-E_Specific_1000,v4_plain_best,lr,917/1000,0.8944316894860463,0.8845454738926168
mHSC-E_Specific_1000,v4_plain_best,mlp,917/1000,0.8909748509432548,0.8835804217579053
mHSC-E_Specific_1000,v4_type_pe_best,lr,917/1000,0.8921662032283509,0.8827813864330557
mHSC-E_Specific_1000,v4_type_pe_best,mlp,917/1000,0.8960844236252186,0.8899864428679933
mHSC-E_Non-Specific_500,minus,lr,457/500,0.8057272657363753,0.17582419580957206
mHSC-E_Non-Specific_500,minus,mlp,457/500,0.8655139573264874,0.3201559221907648
mHSC-E_Non-Specific_500,baseline,lr,457/500,0.7961236549916889,0.15195786678973963
mHSC-E_Non-Specific_500,baseline,mlp,457/500,0.8628402079845726,0.2530710458451468
mHSC-E_Non-Specific_500,scGPT_human,lr,457/500,0.8395927856090766,0.2404697654249228
mHSC-E_Non-Specific_500,scGPT_human,mlp,457/500,0.8671495584172824,0.27997989368670484
mHSC-E_Non-Specific_500,v4_bias_rec_best,lr,457/500,0.8492792115988665,0.1729323081495394
mHSC-E_Non-Specific_500,v4_bias_rec_best,mlp,457/500,0.8724852263518109,0.30047099124252946
mHSC-E_Non-Specific_500,v4_plain_best,lr,457/500,0.8272385256520223,0.14042775290830312
mHSC-E_Non-Specific_500,v4_plain_best,mlp,457/500,0.8634199147002974,0.2683381189545422
mHSC-E_Non-Specific_500,v4_type_pe_best,lr,457/500,0.8173953422340005,0.2318409174231396
mHSC-E_Non-Specific_500,v4_type_pe_best,mlp,457/500,0.833328403854458,0.2516161003033851
mHSC-E_Non-Specific_1000,minus,lr,917/1000,0.8663275679286658,0.22598578013428972
mHSC-E_Non-Specific_1000,minus,mlp,917/1000,0.8694406928167221,0.3129488449474901
mHSC-E_Non-Specific_1000,baseline,lr,917/1000,0.8651749710761604,0.22804329243244498
mHSC-E_Non-Specific_1000,baseline,mlp,917/1000,0.879257371343373,0.2926688545387244
mHSC-E_Non-Specific_1000,scGPT_human,lr,917/1000,0.8288388833219574,0.20077555326355628
mHSC-E_Non-Specific_1000,scGPT_human,mlp,917/1000,0.878038939475353,0.3099179667678892
mHSC-E_Non-Specific_1000,v4_bias_rec_best,lr,917/1000,0.8525549794991698,0.19764552696232265
mHSC-E_Non-Specific_1000,v4_bias_rec_best,mlp,917/1000,0.8649503574938158,0.27768183153531334
mHSC-E_Non-Specific_1000,v4_plain_best,lr,917/1000,0.8496771179753796,0.18517786127642064
mHSC-E_Non-Specific_1000,v4_plain_best,mlp,917/1000,0.870762960058477,0.2461278724259924
mHSC-E_Non-Specific_1000,v4_type_pe_best,lr,917/1000,0.8621509170914478,0.21295178775503762
mHSC-E_Non-Specific_1000,v4_type_pe_best,mlp,917/1000,0.8721103995120463,0.30913076149025
mHSC-E_STRING_500,minus,lr,457/500,0.9206030329880738,0.4640187777446805
mHSC-E_STRING_500,minus,mlp,457/500,0.9355260879749865,0.6376778434601936
mHSC-E_STRING_500,baseline,lr,457/500,0.8831693605059734,0.45116246926277376
mHSC-E_STRING_500,baseline,mlp,457/500,0.9137182111684845,0.6208564138800141
mHSC-E_STRING_500,scGPT_human,lr,457/500,0.8955589843869353,0.5261205830264217
mHSC-E_STRING_500,scGPT_human,mlp,457/500,0.9226781549492296,0.6038879205999835
mHSC-E_STRING_500,v4_bias_rec_best,lr,457/500,0.8843355026632853,0.5368462678551108
mHSC-E_STRING_500,v4_bias_rec_best,mlp,457/500,0.8815525476896127,0.6269027895488787
mHSC-E_STRING_500,v4_plain_best,lr,457/500,0.8905023068226956,0.5310172379431972
mHSC-E_STRING_500,v4_plain_best,mlp,457/500,0.9200123234236712,0.6239100732148432
mHSC-E_STRING_500,v4_type_pe_best,lr,457/500,0.8647300559137158,0.46639955284704226
mHSC-E_STRING_500,v4_type_pe_best,mlp,457/500,0.9023164981107479,0.5979581132699737
mHSC-E_STRING_1000,minus,lr,917/1000,0.8872129635323781,0.4797718524076788
mHSC-E_STRING_1000,minus,mlp,917/1000,0.8978283418403953,0.5575098904187347
mHSC-E_STRING_1000,baseline,lr,917/1000,0.8848420556341348,0.4495913362601702
mHSC-E_STRING_1000,baseline,mlp,917/1000,0.8943937437221983,0.5324505611931785
mHSC-E_STRING_1000,scGPT_human,lr,917/1000,0.8822325400241887,0.42880870474604565
mHSC-E_STRING_1000,scGPT_human,mlp,917/1000,0.8965883606994239,0.5699416955437331
mHSC-E_STRING_1000,v4_bias_rec_best,lr,917/1000,0.8795225795871513,0.4370819048880351
mHSC-E_STRING_1000,v4_bias_rec_best,mlp,917/1000,0.8892923764426132,0.5080352009444449
mHSC-E_STRING_1000,v4_plain_best,lr,917/1000,0.8828179898735216,0.47542810656616596
