dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
hHep500->mHSC-L500,v4_plain_best,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5104786391222458,0.6256902341634658
hHep500->mHSC-L500,v4_type_pe_best,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.49320856627502563,0.6242033618491851
mESC500->hESC500,minus,transfer,mESC500,hESC500,lr,937/1120->848/910,0.568211488604747,0.18386991091556038
mESC500->hESC500,minus,transfer,mESC500,hESC500,mlp,937/1120->848/910,0.6201360954788644,0.21305142638484542
mESC500->hESC500,baseline,transfer,mESC500,hESC500,lr,937/1120->848/910,0.5012590784695645,0.15921523541738453
mESC500->hESC500,baseline,transfer,mESC500,hESC500,mlp,937/1120->848/910,0.5909380603449411,0.19126787440167134
mESC500->hESC500,scGPT_human,transfer,mESC500,hESC500,lr,937/1120->848/910,0.5097348224356051,0.15372744807816952
mESC500->hESC500,scGPT_human,transfer,mESC500,hESC500,mlp,937/1120->848/910,0.580254763643995,0.19331728372510937
mESC500->hESC500,v4_bias_rec_best,transfer,mESC500,hESC500,lr,937/1120->848/910,0.4549083756345571,0.12709186774927825
mESC500->hESC500,v4_bias_rec_best,transfer,mESC500,hESC500,mlp,937/1120->848/910,0.5591643661961572,0.1892001938034103
mESC500->hESC500,v4_plain_best,transfer,mESC500,hESC500,lr,937/1120->848/910,0.4867081084591443,0.162910891846708
mESC500->hESC500,v4_plain_best,transfer,mESC500,hESC500,mlp,937/1120->848/910,0.5076853616609327,0.1789234881035104
mESC500->hESC500,v4_type_pe_best,transfer,mESC500,hESC500,lr,937/1120->848/910,0.6195642520599616,0.2059457838537953
mESC500->hESC500,v4_type_pe_best,transfer,mESC500,hESC500,mlp,937/1120->848/910,0.6110703740161294,0.21667805183739752
mESC500->hHep500,minus,transfer,mESC500,hHep500,lr,937/1120->487/500,0.0,0.5
mESC500->hHep500,minus,transfer,mESC500,hHep500,mlp,937/1120->487/500,0.0,0.5
mESC500->hHep500,baseline,transfer,mESC500,hHep500,lr,937/1120->487/500,0.0,0.5
mESC500->hHep500,baseline,transfer,mESC500,hHep500,mlp,937/1120->487/500,0.0,0.5
mESC500->hHep500,scGPT_human,transfer,mESC500,hHep500,lr,937/1120->487/500,1.0,1.0
mESC500->hHep500,scGPT_human,transfer,mESC500,hHep500,mlp,937/1120->487/500,1.0,1.0
mESC500->hHep500,v4_bias_rec_best,transfer,mESC500,hHep500,lr,937/1120->487/500,1.0,1.0
mESC500->hHep500,v4_bias_rec_best,transfer,mESC500,hHep500,mlp,937/1120->487/500,0.0,0.5
mESC500->hHep500,v4_plain_best,transfer,mESC500,hHep500,lr,937/1120->487/500,1.0,1.0
mESC500->hHep500,v4_plain_best,transfer,mESC500,hHep500,mlp,937/1120->487/500,0.0,0.5
mESC500->hHep500,v4_type_pe_best,transfer,mESC500,hHep500,lr,937/1120->487/500,1.0,1.0
mESC500->hHep500,v4_type_pe_best,transfer,mESC500,hHep500,mlp,937/1120->487/500,1.0,1.0
mESC500->mHSC-E500,minus,transfer,mESC500,mHSC-E500,lr,937/1120->457/500,0.43008383026531843,0.6096369061778806
mESC500->mHSC-E500,minus,transfer,mESC500,mHSC-E500,mlp,937/1120->457/500,0.4279664678938726,0.6042839721411434
mESC500->mHSC-E500,baseline,transfer,mESC500,mHSC-E500,lr,937/1120->457/500,0.41489499611096714,0.5773063012352011
mESC500->mHSC-E500,baseline,transfer,mESC500,mHSC-E500,mlp,937/1120->457/500,0.37647999308616364,0.5888879660233635
mESC500->mHSC-E500,scGPT_human,transfer,mESC500,mHSC-E500,lr,937/1120->457/500,0.39627084953763725,0.5923782386424048
mESC500->mHSC-E500,scGPT_human,transfer,mESC500,mHSC-E500,mlp,937/1120->457/500,0.420685334024717,0.6101031451493386
mESC500->mHSC-E500,v4_bias_rec_best,transfer,mESC500,mHSC-E500,lr,937/1120->457/500,0.3873476795436868,0.5790059879986944
mESC500->mHSC-E500,v4_bias_rec_best,transfer,mESC500,mHSC-E500,mlp,937/1120->457/500,0.36085904416212944,0.5606527242273721
mESC500->mHSC-E500,v4_plain_best,transfer,mESC500,mHSC-E500,lr,937/1120->457/500,0.3767824734249417,0.5880347469105108
mESC500->mHSC-E500,v4_plain_best,transfer,mESC500,mHSC-E500,mlp,937/1120->457/500,0.4017587071126091,0.5908072854833307
mESC500->mHSC-E500,v4_type_pe_best,transfer,mESC500,mHSC-E500,lr,937/1120->457/500,0.41954022988505746,0.5890201772975472
mESC500->mHSC-E500,v4_type_pe_best,transfer,mESC500,mHSC-E500,mlp,937/1120->457/500,0.37263417163598656,0.5665074579104503
mESC500->mHSC-GM500,minus,transfer,mESC500,mHSC-GM500,lr,937/1120->449/500,0.4620820189274448,0.6136444386349087
mESC500->mHSC-GM500,minus,transfer,mESC500,mHSC-GM500,mlp,937/1120->449/500,0.4477444794952681,0.6182746154471679
mESC500->mHSC-GM500,baseline,transfer,mESC500,mHSC-GM500,lr,937/1120->449/500,0.4516876971608833,0.5759617696589849
mESC500->mHSC-GM500,baseline,transfer,mESC500,mHSC-GM500,mlp,937/1120->449/500,0.432807570977918,0.5814671715209663
mESC500->mHSC-GM500,scGPT_human,transfer,mESC500,mHSC-GM500,lr,937/1120->449/500,0.4040220820189274,0.5643679982588726
mESC500->mHSC-GM500,scGPT_human,transfer,mESC500,mHSC-GM500,mlp,937/1120->449/500,0.4179495268138802,0.5753194127829326
mESC500->mHSC-GM500,v4_bias_rec_best,transfer,mESC500,mHSC-GM500,lr,937/1120->449/500,0.4408359621451104,0.5851074103433743
mESC500->mHSC-GM500,v4_bias_rec_best,transfer,mESC500,mHSC-GM500,mlp,937/1120->449/500,0.4554258675078864,0.6277818835390588
